epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.106,1.75205,2.47771,2.23174,0.34183,0.30435,0.24017,0.06819,2.90572,2.6965,3.85707,0.0011882,0.0011882,0.0011882
43,167.924,1.75729,2.47759,2.24956,0.37462,0.21739,0.20722,0.05657,2.94,2.90274,3.81579,0.0011684,0.0011684,0.0011684
44,171.713,1.70884,2.48553,2.22151,0.35398,0.30981,0.30085,0.08009,3.05348,2.5926,4.05021,0.0011486,0.0011486,0.0011486
45,175.542,1.65688,2.48128,2.16271,0.36218,0.38278,0.27862,0.07499,3.08987,2.55763,4.09033,0.0011288,0.0011288,0.0011288
46,179.306,1.78698,2.51984,2.25324,0.35487,0.34783,0.25985,0.07154,3.06232,2.59844,3.99434,0.001109,0.001109,0.001109
47,183.102,1.71773,2.49308,2.21643,0.32064,0.36957,0.27821,0.08183,2.99246,2.65614,3.91518,0.0010892,0.0010892,0.0010892
48,186.936,1.73071,2.43302,2.23282,0.31036,0.34783,0.33618,0.11238,2.95691,2.84061,3.88468,0.0010694,0.0010694,0.0010694
49,190.761,1.65584,2.3923,2.18952,0.38637,0.34783,0.29122,0.1093,2.89493,2.78478,3.87468,0.0010496,0.0010496,0.0010496
50,194.688,1.6997,2.38316,2.20849,0.42268,0.34783,0.35138,0.10687,2.92281,2.56989,3.88011,0.0010298,0.0010298,0.0010298
51,198.451,1.74004,2.39826,2.2145,0.35345,0.30435,0.33004,0.09484,2.94632,2.64263,3.83871,0.00101,0.00101,0.00101
52,202.272,1.75693,2.45616,2.29007,0.35992,0.43478,0.32721,0.10015,2.94378,2.73559,3.76656,0.0009902,0.0009902,0.0009902
53,206.139,1.70024,2.40193,2.17055,0.35396,0.30435,0.31777,0.09387,2.92405,2.6083,3.82156,0.0009704,0.0009704,0.0009704
54,209.973,1.76656,2.3914,2.25671,0.35832,0.28261,0.30023,0.10095,2.87127,2.60672,3.75195,0.0009506,0.0009506,0.0009506
55,213.761,1.71184,2.43031,2.1947,0.40819,0.23913,0.34511,0.10314,2.91058,2.60365,3.72594,0.0009308,0.0009308,0.0009308
56,217.5,1.79785,2.47928,2.28562,0.27199,0.34783,0.27336,0.09962,2.83991,2.54729,3.6158,0.000911,0.000911,0.000911
57,221.385,1.73311,2.47173,2.2217,0.29299,0.30435,0.23211,0.09885,2.84056,2.79371,3.65978,0.0008912,0.0008912,0.0008912
58,225.162,1.70709,2.4731,2.19734,0.31361,0.30435,0.31278,0.11996,2.84886,2.46509,3.57368,0.0008714,0.0008714,0.0008714
59,228.953,1.74903,2.46365,2.23104,0.33462,0.28261,0.31992,0.1075,2.83786,2.49522,3.57205,0.0008516,0.0008516,0.0008516
60,232.788,1.78843,2.42163,2.31549,0.38173,0.32222,0.27843,0.09755,2.81973,2.67349,3.68693,0.0008318,0.0008318,0.0008318
61,236.607,1.7533,2.46321,2.26632,0.41954,0.28261,0.26786,0.10182,2.83026,2.58531,3.78902,0.000812,0.000812,0.000812
62,240.419,1.74303,2.41571,2.20694,0.35752,0.26087,0.28809,0.11373,2.86839,2.51514,3.82618,0.0007922,0.0007922,0.0007922
63,244.26,1.71605,2.41275,2.21719,0.33165,0.30435,0.23749,0.10142,2.83912,2.54174,3.83238,0.0007724,0.0007724,0.0007724
64,248.005,1.69598,2.46599,2.20507,0.29485,0.30435,0.29245,0.11752,2.86581,2.42858,3.90653,0.0007526,0.0007526,0.0007526
65,251.975,1.67623,2.40656,2.18089,0.33678,0.34783,0.27212,0.107,2.90279,2.45305,3.92115,0.0007328,0.0007328,0.0007328
66,255.766,1.65155,2.3962,2.16481,0.45243,0.3913,0.34941,0.12014,3.0084,2.44607,3.96887,0.000713,0.000713,0.000713
67,259.558,1.73033,2.48109,2.21808,0.4352,0.32609,0.36034,0.10814,2.96141,2.47928,3.81291,0.0006932,0.0006932,0.0006932
68,263.481,1.70546,2.39927,2.21487,0.40816,0.36957,0.3352,0.10289,2.969,2.42687,3.88,0.0006734,0.0006734,0.0006734
69,267.307,1.67791,2.39771,2.18623,0.37662,0.3913,0.32304,0.10966,2.95278,2.47703,3.88262,0.0006536,0.0006536,0.0006536
70,271.082,1.72895,2.38419,2.21272,0.41591,0.35616,0.31175,0.11254,2.92953,2.46848,3.86044,0.0006338,0.0006338,0.0006338
71,274.986,1.69998,2.44204,2.18157,0.38519,0.34783,0.28162,0.10553,2.90053,2.4878,3.86652,0.000614,0.000614,0.000614
72,278.779,1.73198,2.39631,2.2056,0.30718,0.36957,0.31684,0.1106,2.88869,2.48056,3.89569,0.0005942,0.0005942,0.0005942
73,282.615,1.65599,2.37701,2.1734,0.35979,0.3913,0.31351,0.11363,2.8637,2.49638,3.79728,0.0005744,0.0005744,0.0005744
74,286.413,1.71072,2.41605,2.19654,0.40345,0.36957,0.33164,0.118,2.90663,2.4807,3.88221,0.0005546,0.0005546,0.0005546
75,290.221,1.72466,2.41609,2.21875,0.39718,0.36957,0.35639,0.12292,2.91374,2.46906,3.93119,0.0005348,0.0005348,0.0005348
76,294.088,1.7032,2.43166,2.19535,0.38882,0.36957,0.34473,0.11372,2.92025,2.48457,3.96944,0.000515,0.000515,0.000515
77,297.945,1.65824,2.38351,2.16133,0.40153,0.36957,0.32236,0.09952,2.89859,2.53106,3.97597,0.0004952,0.0004952,0.0004952
78,301.702,1.65478,2.43521,2.16705,0.31313,0.43478,0.28747,0.09888,2.89858,2.55107,3.94504,0.0004754,0.0004754,0.0004754
79,305.573,1.67009,2.41862,2.13824,0.3904,0.34783,0.3228,0.10664,2.96881,2.4303,4.01129,0.0004556,0.0004556,0.0004556
80,309.384,1.64666,2.39281,2.15056,0.4016,0.41304,0.34973,0.10854,2.99996,2.39943,4.02283,0.0004358,0.0004358,0.0004358
81,313.283,1.70594,2.39651,2.19074,0.37587,0.41304,0.32595,0.10219,2.92248,2.39066,3.95372,0.000416,0.000416,0.000416
82,317.121,1.70412,2.47094,2.18959,0.35617,0.34879,0.30499,0.10673,2.90013,2.42008,3.91508,0.0003962,0.0003962,0.0003962
83,321.011,1.69316,2.40815,2.16117,0.37959,0.30435,0.30919,0.10748,2.88096,2.41957,3.90709,0.0003764,0.0003764,0.0003764
84,324.892,1.6765,2.41674,2.13407,0.36467,0.45652,0.35424,0.11478,2.85983,2.41725,3.88518,0.0003566,0.0003566,0.0003566
85,328.7,1.63137,2.39342,2.15183,0.37917,0.3718,0.38495,0.12515,2.84163,2.40569,3.82637,0.0003368,0.0003368,0.0003368
86,332.543,1.67317,2.43391,2.1712,0.37051,0.36957,0.35308,0.12889,2.79752,2.42798,3.75875,0.000317,0.000317,0.000317
87,336.362,1.61928,2.34082,2.14738,0.3802,0.36957,0.32724,0.11174,2.81863,2.45328,3.77771,0.0002972,0.0002972,0.0002972
88,340.1,1.67122,2.38328,2.14133,0.37987,0.41304,0.32807,0.11256,2.86908,2.4889,3.82407,0.0002774,0.0002774,0.0002774
89,343.938,1.66588,2.40835,2.19467,0.36708,0.34783,0.35295,0.11247,2.86172,2.49741,3.80794,0.0002576,0.0002576,0.0002576
90,347.699,1.70658,2.41533,2.19223,0.36397,0.34783,0.34048,0.11576,2.84286,2.47885,3.79391,0.0002378,0.0002378,0.0002378
91,406.063,1.52069,2.39482,2.20201,0.35285,0.30435,0.37095,0.11425,2.81049,2.46171,3.7591,0.000218,0.000218,0.000218
92,409.968,1.47136,2.365,2.13823,0.31984,0.41304,0.34292,0.11597,2.795,2.43467,3.74487,0.0001982,0.0001982,0.0001982
93,413.775,1.47521,2.29003,2.11519,0.32829,0.45652,0.35132,0.12532,2.78358,2.40583,3.71484,0.0001784,0.0001784,0.0001784
94,417.569,1.436,2.23953,2.133,0.34955,0.45652,0.34672,0.12308,2.7984,2.4296,3.76078,0.0001586,0.0001586,0.0001586
95,421.455,1.50671,2.23131,2.17694,0.38699,0.45294,0.35053,0.12266,2.83618,2.44779,3.80949,0.0001388,0.0001388,0.0001388
96,425.197,1.5155,2.17235,2.17345,0.36089,0.39285,0.34455,0.11935,2.83747,2.4571,3.80121,0.000119,0.000119,0.000119
97,429.452,1.44179,2.18482,2.09505,0.38889,0.4013,0.36281,0.12384,2.82357,2.45418,3.76895,9.92e-05,9.92e-05,9.92e-05
98,433.202,1.52278,2.21635,2.13185,0.39052,0.43478,0.37545,0.12835,2.82202,2.44671,3.77975,7.94e-05,7.94e-05,7.94e-05
99,436.946,1.46727,2.19038,2.11524,0.42698,0.43478,0.37743,0.13209,2.80341,2.43868,3.73963,5.96e-05,5.96e-05,5.96e-05
100,440.803,1.46594,2.18321,2.09805,0.41784,0.45652,0.37994,0.13209,2.80434,2.4343,3.745,3.98e-05,3.98e-05,3.98e-05
